Date,Banks,Indicator
2002-06-01,BPH,104.0
2002-09-01,BPH,109.0
2002-12-01,BPH,112.0
2003-03-01,BPH,119.0
2003-06-01,BPH,116.0
2003-09-01,BPH,131.0
2003-12-01,BPH,120.0
2004-03-01,BPH,118.0
2004-06-01,BPH,119.0
2004-09-01,BPH,118.0
2004-12-01,BPH,119.0
2005-03-01,BPH,118.0
2005-06-01,BPH,117.0
2005-09-01,BPH,117.0
2005-12-01,BPH,127.0
2006-03-01,BPH,124.0
2006-06-01,BPH,125.0
2006-09-01,BPH,126.0
2006-12-01,BPH,128.0
2007-03-01,BPH,132.0
2007-06-01,BPH,128.0
2007-09-01,BPH,126.0
2007-12-01,BPH,133.0
2008-03-01,BPH,135.0
2008-06-01,BPH,131.0
2008-09-01,BPH,138.0
2008-12-01,BPH,139.0
2009-03-01,BPH,138.0
2009-06-01,BPH,137.0
2009-09-01,BPH,135.0
2009-12-01,BPH,137.0
2010-03-01,BPH,129.0
2010-06-01,BPH,129.0
2010-09-01,BPH,123.0
2010-12-01,BPH,117.0
2011-03-01,BPH,112.0
2011-06-01,BPH,119.0
2011-09-01,BPH,128.0
2011-12-01,BPH,124.0
2012-03-01,BPH,127.0
2012-06-01,BPH,133.0
2012-09-01,BPH,144.0
2012-12-01,BPH,144.0
2013-03-01,BPH,141.0
2013-06-01,BPH,138.0
2013-09-01,BPH,141.0
2013-12-01,BPH,143.0
2014-03-01,BPH,143.0
2014-06-01,BPH,152.0
2014-09-01,BPH,155.0
1998-09-01,BUH,335.0
1998-12-01,BUH,364.0
1999-03-01,BUH,371.0
1999-06-01,BUH,376.0
1999-09-01,BUH,383.0
1999-12-01,BUH,385.0
2000-03-01,BUH,389.0
2000-06-01,BUH,377.0
2000-09-01,BUH,310.0
2000-12-01,BUH,306.0
2001-03-01,BUH,281.0
2001-06-01,BUH,287.0
2001-09-01,BUH,257.0
2001-12-01,BUH,263.0
2002-03-01,BUH,249.0
2002-06-01,BUH,244.0
2002-09-01,BUH,249.0
2002-12-01,BUH,358.0
2003-03-01,BUH,343.0
2003-06-01,BUH,345.0
2003-09-01,BUH,362.0
2003-12-01,BUH,365.0
2004-03-01,BUH,371.0
2004-06-01,BUH,379.0
2004-09-01,BUH,376.0
2004-12-01,BUH,390.0
2005-03-01,BUH,384.0
2005-06-01,BUH,391.0
2005-09-01,BUH,456.0
2005-12-01,BUH,477.0
2006-03-01,BUH,486.0
2006-06-01,BUH,476.0
2006-09-01,BUH,348.0
2006-12-01,BUH,328.0
2007-03-01,BUH,354.0
2007-06-01,BUH,360.0
2007-09-01,BUH,380.0
2007-12-01,BUH,513.0
2008-03-01,BUH,365.0
2008-06-01,BUH,356.0
2008-09-01,BUH,353.0
2008-12-01,BUH,307.0
2009-03-01,BUH,295.0
2009-06-01,BUH,289.0
2009-09-01,BUH,270.0
2009-12-01,BUH,272.0
2010-03-01,BUH,256.0
2010-06-01,BUH,247.0
2010-09-01,BUH,249.0
2010-12-01,BUH,252.0
2011-03-01,BUH,246.0
2011-06-01,BUH,244.0
2011-09-01,BUH,238.0
2011-12-01,BUH,213.0
2012-03-01,BUH,211.0
2012-06-01,BUH,213.0
2012-09-01,BUH,213.0
2012-12-01,BUH,211.0
2013-03-01,BUH,217.0
2013-06-01,BUH,213.0
2013-09-01,BUH,208.0
2013-12-01,BUH,206.0
2014-03-01,BUH,195.0
2014-06-01,BUH,192.0
2014-09-01,BUH,191.0
1998-09-01,PROMOBK ,165.0
1998-12-01,PROMOBK ,163.0
1999-03-01,PROMOBK ,161.0
1999-06-01,PROMOBK ,160.0
1999-09-01,PROMOBK ,164.0
1999-12-01,PROMOBK ,164.0
2000-03-01,PROMOBK ,164.0
2000-06-01,PROMOBK ,165.0
2000-09-01,PROMOBK ,168.0
2000-12-01,PROMOBK ,174.0
2001-03-01,PROMOBK ,181.0
2001-06-01,PROMOBK ,182.0
2001-09-01,PROMOBK ,186.0
2001-12-01,PROMOBK ,195.0
2002-03-01,PROMOBK ,168.0
2002-06-01,PROMOBK ,165.0
2002-09-01,PROMOBK ,170.0
2002-12-01,PROMOBK ,176.0
2003-03-01,PROMOBK ,172.0
2003-06-01,PROMOBK ,175.0
2003-09-01,PROMOBK ,181.0
2003-12-01,PROMOBK ,182.0
2004-03-01,PROMOBK ,198.0
2004-06-01,PROMOBK ,201.0
2004-09-01,PROMOBK ,198.0
2004-12-01,PROMOBK ,200.0
2005-03-01,PROMOBK ,202.0
2005-06-01,PROMOBK ,198.0
2005-09-01,PROMOBK ,190.0
