Indicators,BNC  ,BPH,BUH,CAPITALBK,SOGEBK,UNIBNK,SOGEBL,CBNA,TOTAL,Parts1_fr,Parts2_fr,Parts1_en,Parts2_en,Date,SCOTIA,BICH,SOCABK,PROMOBK,SOCABL,BHD *,BHD 
OBLIGATIONS_À_TERME_autres,3741617,204039.33647,208158.09206621503,89143,1361673.7403200003,789731.33464254,88060.29406,105657,6588079.797558755,Passif,Obligations à terme,Liability,Term bonds,2019-03-01,,,,,,,
AUTRES_PASSIFS_autres_passifs,1017117,11781.68456,220194.148314388,1162590,1858295.25536,1750269.689859218,175475.27938000002,0,6195723.057473606,Passif,Autres passifs,Liability,Other liabilities,2019-03-01,,,,,,,
FONDS_PROPRES_capital_verse,3000000,165000,733027.51157,810000,1500000,6405950,250000,103837,12967814.51157,Fonds propres,Fonds propres,Equity,Equity,2019-03-01,,,,,,,
FONDS_PROPRES_reserves,721981,78594.77100000001,319739.92462,341698,2466082.2736,1318888.34426,290322.19877,59288,5596594.51225,Fonds propres,Fonds propres,Equity,Equity,2019-03-01,,,,,,,
FONDS_PROPRES_reserves_(prov._pour_pertes_sur_prets),194000,0,0,0,0,0,0,0,194000,Fonds propres,Fonds propres,Equity,Equity,2019-03-01,,,,,,,
FONDS_PROPRES_surplus_d'apport,0,14325,1209904.93985,1384,376690.93492,0,0,0,1602304.87477,Fonds propres,Fonds propres,Equity,Equity,2019-03-01,,,,,,,
FONDS_PROPRES_bnr,3115241,-295165.56471999997,553234.2349,1189420,2680931.6139000007,4226851.039589999,120026.63386999999,273474,11864012.95754,Fonds propres,Fonds propres,Equity,Equity,2019-03-01,,,,,,,
HORS-BILAN_effets_a_l'encaissement,992903,0,0,0,152874.67580000003,2274.240087058,0,0,1148051.915887058,Hors-bilan,Hors-bilan,Off-balance sheet,Off-balance sheet,2019-03-01,,,,,,,
HORS-BILAN_credit_documentaire,339205,0,0,0,1618930.42626,1183419.885489608,0,0,3141555.3117496083,Hors-bilan,Hors-bilan,Off-balance sheet,Off-balance sheet,2019-03-01,,,,,,,
HORS-BILAN_autres,10017152,254021.018081366,686967.210985885,463423,4832197.41481,1366816.714956799,477277.803385,1660053.0692000003,19757908.231419053,Hors-bilan,Hors-bilan,Off-balance sheet,Off-balance sheet,2019-03-01,,,,,,,
